10G,1,1,1,2
10G,1,1,2,2
1G,1,1,3,2
10G,1,1,4,2
10G,1,1,5,2
10G,1,1,6,2
10G,1,1,7,2
10G,1,1,8,2
10G,1,1,9,2
10G,1,1,10,2
10G,4,1,11,2
10G,1,1,12,2
10G,1,1,13,2
10G,1,1,14,2
10G,1,1,15,2
10G,1,1,16,2
10G,1,1,17,2
1G,1,1,18,2
1G,1,1,19,2
10G,2,1,20,2
1G,2,1,21,2
10G,1,1,22,2
1G,1,1,23,2
1G,1,1,24,2
10G,1,1,25,2
1G,1,1,26,2
10G,1,1,27,2
1G,1,1,28,2
10G,1,1,29,2
10G,1,1,30,2
1G,1,1,31,2
1G,1,1,32,2
10G,1,1,33,2
1G,1,1,34,2
10G,1,1,35,2
1G,1,1,36,2
1G,1,1,37,2
10G,1,1,38,2
10G,1,1,39,2
10G,1,1,40,2
1G,1,1,41,2
10G,1,1,42,2
1G,1,1,43,2
10G,1,1,44,2
10G,1,1,45,2
10G,8,1,46,2
10G,1,1,47,2
10G,1,1,48,2
10G,1,1,49,2
1G,1,1,50,2
1G,1,1,51,2
10G,1,1,52,2
10G,1,1,53,2
1G,1,1,54,2
10G,1,1,55,2
10G,1,1,56,2
10G,1,1,57,2
10G,4,1,58,2
10G,1,1,59,2
10G,1,1,60,2
10G,1,1,61,2
10G,1,1,62,2
1G,1,1,63,2
10G,1,1,64,2
1G,1,1,65,2
10G,1,1,66,2
10G,1,1,67,2
10G,1,1,68,2
