Ethernet1/1,6,Ethernet,Fiber,,,1
Ethernet1/2,6,Ethernet,Fiber,,,
Ethernet1/3,6,Ethernet,Fiber,,,
Ethernet1/4,6,Ethernet,Fiber,,,
Ethernet1/5,6,Ethernet,Fiber,,,
Ethernet1/6,6,Ethernet,Fiber,,,
Ethernet1/7,6,Ethernet,Fiber,,,
Ethernet1/8,6,Ethernet,Fiber,,,
Ethernet1/9,6,Ethernet,Fiber,,,
Ethernet1/10,6,Ethernet,Fiber,,,
Ethernet1/11,6,Ethernet,Fiber,,,
Ethernet1/12,6,Ethernet,Fiber,,,
Ethernet1/13,6,Ethernet,Fiber,,,
Ethernet1/14,6,Ethernet,Fiber,,,
Ethernet1/15,6,Ethernet,Fiber,,,
Ethernet1/16,6,Ethernet,Fiber,,,
Ethernet1/17,6,Ethernet,Fiber,,,
Ethernet1/18,6,Ethernet,Fiber,,,
Ethernet1/19,6,Ethernet,Fiber,,,
Ethernet1/20,6,Ethernet,Fiber,,,
Ethernet1/21,6,Ethernet,Fiber,,,
Ethernet1/22,6,Ethernet,Fiber,,,
Ethernet1/23,6,Ethernet,Fiber,,,
Ethernet1/24,6,Ethernet,Fiber,,,
Ethernet1/25,6,Ethernet,Fiber,,,
Ethernet1/26,6,Ethernet,Fiber,,,
Ethernet1/27,6,Ethernet,Fiber,,,
Ethernet1/28,6,Ethernet,Fiber,,,
Ethernet1/29,6,Ethernet,Fiber,,,
Ethernet1/30,6,Ethernet,Fiber,,,
Ethernet1/31,6,Ethernet,Fiber,,,
Ethernet1/32,6,Ethernet,Fiber,,,
Ethernet1/33,6,Ethernet,Fiber,,,
Ethernet1/34,6,Ethernet,Fiber,,,
Ethernet1/35,6,Ethernet,Fiber,,,
Ethernet1/36,6,Ethernet,Fiber,,,
Ethernet1/37,6,Ethernet,Fiber,,,
Ethernet1/38,6,Ethernet,Fiber,,,
Ethernet1/39,6,Ethernet,Fiber,,,
Ethernet1/40,6,Ethernet,Fiber,,,
Ethernet1/41,6,Ethernet,Fiber,,,
Ethernet1/42,6,Ethernet,Fiber,,,
Ethernet1/43,6,Ethernet,Fiber,,,
Ethernet1/44,6,Ethernet,Fiber,,,
Ethernet1/45,6,Ethernet,Fiber,,,
Ethernet1/46,6,Ethernet,Fiber,,,
Ethernet1/47,6,Ethernet,Fiber,,,
Ethernet1/48,6,Ethernet,Fiber,,,
